source_name,source_url,fetch_status,candidate_links_found,article_pages_opened,date_parsed_count,accepted_count,rejected_date_count,rejected_relevance_count,uncertain_date_count,failed_count,zero_result_reason,error,notes,checked_at
Al Mashhad,https://www.almashhad.com/section/773112298002792-News/ | https://www.almashhad.com/feed/ | https://www.almashhad.com/rss.xml,ok,0,0,0,0,0,0,0,1,no_article_links_found,"https://www.almashhad.com/rss/: requests=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); requests_with_browser_headers=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); session_reuse=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); playwright_default=Failed to fetch https://www.almashhad.com/rss/ after 1 attempts","rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['playwright_default:sitemap_discovery', 'playwright_default:category_pages', 'playwright_default:archive_pages']",2026-06-17T06:56:47Z
Al Ain,https://al-ain.com/tag/libya | https://al-ain.com/ | https://al-ain.com/feed/ | https://al-ain.com/search?query=UNSMIL+Libya | https://al-ain.com/search?query=Libya+Egypt+talks,ok,55,18,18,0,0,55,0,0,all_items_failed_relevance_filter,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:Regional & International",2026-06-17T06:56:56Z
Arabi21,https://arabi21.com/stories/t/49474/0/%D9%84%D9%8A%D8%A8%D9%8A%D8%A7 | https://arabi21.com/feed/ | https://arabi21.com/rss/ | https://arabi21.com/Search?searchText=UNSMIL+Libya | https://arabi21.com/Search?searchText=Libya+Egypt+talks | https://arabi21.com/Search?searchText=Libya+analysis,ok,5,5,5,0,0,5,0,0,all_items_failed_relevance_filter,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:Varieties",2026-06-17T06:57:05Z
New Arab,https://www.newarab.com/tag/libya | https://www.newarab.com/rss | https://www.newarab.com/search?search_api_fulltext=UNSMIL+Libya | https://www.newarab.com/search?search_api_fulltext=Libya+Egypt+talks | https://www.newarab.com/search?search_api_fulltext=Libya+analysis,ok,13,13,7,0,1,12,0,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:Regional & International; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:Varieties",2026-06-17T06:57:24Z
ANSA,https://www.ansa.it/english/ | https://www.ansa.it/english/news/world/ | https://www.ansa.it/feed/,ok,31,18,15,0,0,31,0,0,all_items_failed_relevance_filter,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T06:57:36Z
Anadolu Agency,https://www.aa.com.tr/en/africa | https://www.aa.com.tr/en | https://www.aa.com.tr/feed/ | https://www.aa.com.tr/en/search/?s=UNSMIL+Libya | https://www.aa.com.tr/en/search/?s=Libya+Egypt+talks,ok,18,14,0,0,0,18,0,1,all_items_failed_relevance_filter,"https://www.aa.com.tr/rss/: requests=('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer')); requests_with_browser_headers=Exceeded 30 redirects.; session_reuse=Exceeded 30 redirects.; playwright_default=Failed to fetch https://www.aa.com.tr/rss/ after 1 attempts","rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests_with_browser_headers', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Regional & International",2026-06-17T06:58:18Z
The Guardian,https://www.theguardian.com/world/libya | https://www.theguardian.com/feed | https://www.theguardian.com/uk/rss,ok,31,18,13,0,0,31,0,0,all_items_failed_relevance_filter,,"rejected_non_article=6; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T06:58:31Z
BSS News,https://www.bssnews.net/international | https://www.bssnews.net/ | https://www.bssnews.net/feed/,ok,9,9,8,0,0,9,0,0,all_items_failed_relevance_filter,,"rejected_non_article=2; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T06:58:40Z
CH Aviation,https://www.ch-aviation.com/news | https://www.ch-aviation.com/feed/ | https://www.ch-aviation.com/rss/,ok,27,18,0,0,0,27,0,0,all_items_failed_relevance_filter,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']",2026-06-17T06:58:54Z
Volcanodiscovery,https://www.volcanodiscovery.com/earthquakes/libya.html | https://www.volcanodiscovery.com/feed/ | https://www.volcanodiscovery.com/rss/,ok,15,15,11,0,2,13,0,0,all_items_outside_date_window,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification', 'requests_with_browser_headers:article_page_verification']",2026-06-17T06:59:04Z
Reuters,https://www.reuters.com/world/africa/ | https://www.reuters.com/feed/ | https://www.reuters.com/rss/ | https://www.reuters.com/site-search/?query=UNSMIL+Libya | https://www.reuters.com/site-search/?query=Libya+Egypt+talks,ok,0,0,0,0,0,0,0,0,no_article_links_found,,"rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['playwright_default:sitemap_discovery', 'playwright_default:category_pages', 'playwright_default:archive_pages']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=[]; contextual_pass=section_coverage:Regional & International",2026-06-17T06:59:33Z
AP,https://apnews.com/hub/libya | https://apnews.com/feed/ | https://apnews.com/rss/ | https://apnews.com/search?q=UNSMIL+Libya | https://apnews.com/search?q=Libya+Egypt+talks,ok,261,26,25,0,0,261,0,0,all_items_failed_relevance_filter,,"rejected_non_article=4; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=4; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=4; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International",2026-06-17T06:59:51Z
BBC,https://www.bbc.com/news/topics/c302m85qenyt | https://www.bbc.com/feed/ | https://www.bbc.com/rss/ | https://www.bbc.co.uk/search?q=UNSMIL+Libya&edgeauth=eyJhbGciOiAiSFMyNTYiLCAidHlwIjogIkpXVCJ9.eyJrZXkiOiAiZmFzdGx5LXVyaS10b2tlbi0xIiwiZXhwIjogMTc4MTY4MDAxNywibmJmIjogMTc4MTY3OTY1NywicmVxdWVzdHVyaSI6ICIlMkZzZWFyY2glM0ZxJTNEVU5TTUlMJTJCTGlieWEifQ.2DziULU2Z54C3mfEQHy80WB9Jo9ywagKhlV8Klz6d7g | https://www.bbc.co.uk/search?q=Libya+Egypt+talks&edgeauth=eyJhbGciOiAiSFMyNTYiLCAidHlwIjogIkpXVCJ9.eyJrZXkiOiAiZmFzdGx5LXVyaS10b2tlbi0xIiwiZXhwIjogMTc4MTY4MDQ5MSwibmJmIjogMTc4MTY4MDEzMSwicmVxdWVzdHVyaSI6ICIlMkZzZWFyY2glM0ZxJTNETGlieWElMkJFZ3lwdCUyQnRhbGtzIn0.lx5F3OJbtJSG2Q07zEcqrKm8wr0rtSMdnfzry6Yvd-A,ok,69,26,13,0,4,52,13,0,all_items_failed_relevance_filter,,"rejected_non_article=1; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=0; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; contextual_pass=section_coverage:Regional & International",2026-06-17T07:00:04Z
Al Jazeera Arabic - Libya,https://www.aljazeera.net/where/mideast/arab/libya/ | https://www.aljazeera.net/feed/ | https://www.aljazeera.net/rss/ | https://www.aljazeera.net/search/unsmil+libya | https://www.aljazeera.net/search/libya+egypt+talks | https://www.aljazeera.net/search/libya+analysis,ok,100,30,29,7,13,77,3,0,,,"rejected_non_article=9; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification']; rejected_non_article=8; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:United Nations; rejected_non_article=8; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Regional & International; rejected_non_article=8; article_fetch_errors=0; successful_recovery_methods=['requests', 'requests:article_page_verification', 'requests_with_browser_headers:article_page_verification']; contextual_pass=section_coverage:Varieties",2026-06-17T07:00:20Z
